source,id,lender_TopName,Match_Type,highest_parent_id,RSSD,CU_NAME,notice,name,entity,permco,dt_start,dt_end
3.0,1123670,FIRST INTERSTATE BANCSYSTEM INC,BHC,1123670,,,,"First Interstate Bancsystem, Inc.",1123670,53368,20100331,20161231
1.0,1129382,POPULAR INC,BHC,1129382,,,,"Popular, Inc.",1129382,475,19860630,20161231
1.0,1131497,SMARTFINANCIAL INC,BHC,1131497,,,,Smartfinancial Inc,1131497,55508,20151231,20161231
1.0,1131787,SUNTRUST BANKS INC,BHC,1131787,,,,"Suntrust Banks, Inc.",1131787,21691,19860630,20161231
2.0,1139279,NBT BANCORP INC,BHC,1139279,,,,Nbt Bancorp Inc.,1139279,11403,19920331,20161231
1.0,1139541,PEOPLES FINANCIAL SERVICES CORPORATION,BHC,1139541,,,,Peoples Financial Services,1139541,54827,20140430,20161231
1.0,1145476,WEBSTER FINANCIAL CORPORATION,BHC,1145476,,,,Webster Financial Corporation,1145476,8810,19861231,20161231
1.0,1199563,ASSOCIATED BANCCORP,BHC,1199563,,,,Associated Banc-Corp,1199563,362,19860630,20161231
1.0,1199844,COMERICA INCORPORATED,BHC,1199844,,,,Comerica Incorporated,1199844,1261,19860630,20161231
1.0,1201934,TCF FINANCIAL CORPORATION,BHC,1201934,,,,Chemical Financial Corporation,1201934,9882,19880831,20161231
1.0,1203602,FIRST BUSEY CORPORATION,BHC,1203602,,,,First Busey Corporation,1203602,16290,19981030,20161231
1.0,1206546,HEARTLAND FINANCIAL USA INC,BHC,1206546,,,,"Heartland Financial Usa, Inc.",1206546,44055,20030530,20161231
1.0,1206760,FIRST MID BANCSHARES INC,BHC,1206760,,,,First Mid Ill Bancshares Inc,1206760,54861,20140530,20161231
1.0,1208184,FIRST MIDWEST BANCORP INC,BHC,1208184,,,,"First Midwest Bancorp, Inc.",1208184,5908,19860630,20161231
1.0,1208559,FIRST MERCHANTS CORPORATION,BHC,1208559,,,,First Merchants Corporation,1208559,10218,19890630,20161231
1.0,1208906,LAKELAND FINANCIAL CORPORATION,BHC,1208906,,,,Lakeland Financial Corporation,1208906,15657,19970829,20161231
1.0,1209136,HORIZON BANCORP INC,BHC,1209136,,,,Horizon Bancorp,1209136,9389,19870831,20161231
2.0,1248304,SANDY SPRING BANCORP INC,BHC,1248304,,,,"Sandy Spring Bancorp, Inc.",1248304,14531,19960430,20161231
1.0,1404799,LAKELAND BANCORP INC,BHC,1404799,,,,"Lakeland Bancorp, Inc.",1404799,18304,20000229,20161231
2.0,1491351,MIDLAND STATES BANCORP INC,BHC,1491351,,,,Midland States Bancorp,1491351,55567,20160531,20161231
2.0,1496253,UNIVERSITY BANCORP INC,BHC,1496253,,,,"University Bancorp, Inc.",1496253,9237,19891231,20090109
1.0,1562859,ALLY FINANCIAL INC,BHC,1562859,,,,Ally Financial Inc,1562859,53687,20140430,20161231
3.0,1848003,CASCADE BC,No Match,1848003,,,,Cascade Bancorp,1848003,12784,19940131,20161231
1.0,1862036,GUARANTY BANCSHARES INC,BHC,1862036,,,,"Guaranty Bancshares, Inc.",1862036,16115,19900101,20050630
1.0,1902651,MERIDIAN BANCORP INC,BHC,1902651,,,,Meridian Bancorp Inc (Md),1902651,52920,20140729,20161231
2.0,1951350,CITIGROUP INC,BHC,1951350,,,,Citigroup Inc.,1951350,20483,19881215,20161231
1.0,1971693,ATLANTIC UNION BANKSHARES CORPORATION,BHC,1971693,,,,Union First Market Bankshares Corporation,1971693,12461,19931029,20161231
1.0,2038409,HAWTHORN BANCSHARES INC,BHC,2038409,,,,"Hawthorn Bancshares, Inc",2038409,37716,20000630,20161231
3.0,2078816,COLUMBIA BANKING SYSTEM INC,BHC,2078816,,,,"Columbia Banking System, Inc.",2078816,11576,19930816,20161231
3.0,2126977,BANNER CORPORATION,BHC,2126977,,,,Banner Corporation,2126977,14091,19951130,20161231
1.0,2162966,MORGAN STANLEY,BHC,2162966,,,,Morgan Stanley,2162966,21224,19930602,20161231
1.0,2260406,WINTRUST FINANCIAL CORPORATION,BHC,2260406,,,,Wintrust Financial Corporation,2260406,15385,19970331,20161231
1.0,2277860,CAPITAL ONE FINANCIAL CORPORATION,BHC,2277860,,,,Capital One Financial Corporation,2277860,30513,19941130,20161231
1.0,2291914,IBERIABANK CORPORATION,BHC,2291914,,,,Iberiabank Corporation,2291914,13657,19950428,20161231
1.0,2349815,WESTERN ALLIANCE BANCORPORATION,BHC,2349815,,,,Western Alliance Bancorporation,2349815,46890,20050630,20161231
1.0,2380443,GOLDMAN SACHS GROUP INC THE,BHC,2380443,,,,"Goldman Sachs Group, Inc., The",2380443,35048,19990528,20161231
1.0,2393274,FLUSHING FINANCIAL CORPORATION,BHC,2393274,,,,Flushing Financial Corp,2393274,14157,19951130,20161231
1.0,2461463,SB ONE BANCORP,BHC,2461463,,,,Sussex Bancorp,2461463,34666,19980227,20161231
1.0,2490575,OFG BANCORP,BHC,2490575,,,,Oriental Financial Group Inc.,2490575,9058,19970124,20161231
1.0,2495039,TAYLOR CAP GRP,No Match,2495039,,,,"Taylor Capital Group, Inc.",2495039,43617,20021031,20140817
2.0,2507790,CAROLINA FINANCIAL CORPORATION,BHC,2507790,,,,Carolina Financial Corp,2507790,54949,20140731,20161231
1.0,2523389,COMMUNITY FINANCIAL CORPORATION THE,BHC,2523389,,,,Community Financial Cp (The),2523389,54567,20130930,20161231
2.0,2582827,NORTHWAY FINANCIAL INC,BHC,2582827,,,,"Northway Financial, Inc.",2582827,15734,19900101,20070630
1.0,2609975,OCEANFIRST FINANCIAL CORP,BHC,2609975,,,,Oceanfirst Financial Corp.,2609975,14795,19960731,20161231
1.0,2648693,FIRST NIAGARA FNCL GROUP,No Match,2648693,,,,"First Niagara Financial Group, Inc.",2648693,16060,19980430,20160729
1.0,2706735,TEXAS CAPITAL BANCSHARES INC,BHC,2706735,,,,"Texas Capital Bancshares, Inc.",2706735,44292,20030829,20161231
2.0,2734233,EAST WEST BANCORP INC,BHC,2734233,,,,"East West Bancorp, Inc.",2734233,16402,19990226,20161231
1.0,2745604,TOWER FC,No Match,2745604,,,,Tower Financial Corporation,2745604,42116,20010928,20140425
3.0,2747644,UMPQUA HOLDINGS CORPORATION,BHC,2747644,,,,Umpqua Holdings Corporation,2747644,16035,19990313,20161231
3.0,2762973,PACIFIC CONTINENTAL CORP,No Match,2762973,,,,Pacific Continental Corporation,2762973,37736,20000630,20161231
1.0,2784920,1ST CONSTITUTION BANCORP,BHC,2784920,,,,1St Constitution Bancorp,2784920,42541,20011231,20161231
1.0,2900261,HANMI FINANCIAL CORPORATION,BHC,2900261,,,,Hanmi Financial Corporation,2900261,41159,20010131,20161231
3.0,2961879,HOPE BANCORP INC,BHC,2961879,,,,"Nara Bancorp, Inc.",2961879,15933,20010202,20161231
3.0,2976396,SIERRA BANCORP,BHC,2976396,,,,Sierra Bancorp,2976396,16578,20010810,20161231
3.0,3025385,NORTHRIM BC,BHC,3025385,,,,"Northrim Bancorp, Inc.",3025385,28947,20020101,20161231
1.0,3063622,STIFEL FINANCIAL CORP,BHC,3063622,,,,Stifel Financial Corp.,3063622,6185,20011016,20161231
1.0,3083291,STERLING BANCORP,BHC,3083291,,,,"Provident New York Bancorp, Inc.",3083291,16374,20040114,20161231
1.0,3109904,ACCESS NATIONAL CORPORATION,BHC,3109904,,,,Access National Corporation,3109904,45415,20040730,20161231
1.0,3140288,INDEPENDENT BANK GROUP INC,BHC,3140288,,,,Independent Bk Grp Inc,3140288,54377,20130430,20161231
1.0,3153130,BANC OF CALIFORNIA INC,BHC,3153130,,,,"First Pactrust Bancorp, Inc.",3153130,43449,20020830,20161231
1.0,3233126,TRIUMPH BANCORP INC,BHC,3233126,,,,Triumph Bancorp Inc,3233126,55123,20141128,20161231
1.0,3242838,REGIONS FINANCIAL CORPORATION,BHC,3242838,,,,Regions Financial Corporation,3242838,1620,20040701,20161231
1.0,3248513,WILSHIRE BC,No Match,3248513,,,,"Wilshire Bancorp, Inc.",3248513,16321,20040826,20160729
1.0,3325740,SOUTHERN NATIONAL BANCORP OF VIRGINIA INC,BHC,3325740,,,,"Southern National Bancorp Of Virginia, Inc.",3325740,51457,20061130,20161231
1.0,3339046,STONEGATE BANK,No Match,3339046,,,,Stonegate Bank/Fl,3339046,54871,20140530,20161231
1.0,3474835,GREEN BANCORP INC,BHC,3474835,,,,Green Bancorp Inc,3474835,54993,20140829,20161231
1.0,3489594,PACIFIC PREMIER BANCORP INC,BHC,3489594,,,,"Pacific Premier Bancorp, Inc.",3489594,15547,20070330,20161231
1.0,3541483,AVENUE FNCL HOLD,No Match,3541483,,,,Avenue Financial Holdings,3541483,55189,20150227,20160630
3.0,3587146,BANK OF NEW YORK MELLON CORPORATION THE,BHC,3587146,,,,"Bank Of New York Mellon Corporation, The",3587146,20265,20070701,20161231
3.0,3609682,TALMER BC,No Match,3609682,,,,Talmer Bancorp Inc,3609682,54747,20140228,20160831
1.0,3637582,FRANKLIN FINANCIAL NETWORK INC,BHC,3637582,,,,Franklin Finl Network Inc,3637582,55204,20150331,20161231
1.0,3650152,PEOPLES UNITED FINANCIAL INC,BHC,3650152,,,,"People'S United Financial, Inc.",3650152,9847,20070416,20161231
1.0,3744239,ALLEGIANCE BANCSHARES INC,BHC,3744239,,,,Allegiance Bancshares Inc,3744239,55451,20151030,20161231
1.0,3814310,AXOS FINANCIAL INC,BHC,3814310,,,,"Bofi Holding, Inc.",3814310,46441,20050331,20161231
1.0,3815157,RAYMOND JAMES FINANCIAL INC,BHC,3815157,,,,"Raymond James Financial, Inc.",3815157,6137,19940513,20161231
3.0,3823031,SWS GRP,No Match,3823031,,,,"Sws Group, Inc.",3823031,11148,20000428,20141231
1.0,3840029,ATLANTIC COAST FINANCIAL CORPORATION,BHC,3840029,,,,Atlantic Coast Financial Corporation,3840029,45707,20041029,20161231
3.0,3842658,FIRST FOUNDATION INC,BHC,3842658,,,,First Foundation Inc,3842658,55109,20141128,20161231
3.0,3843507,HOMESTREET INC,BHC,3843507,,,,"Homestreet, Inc.",3843507,54001,20120229,20161231
1.0,3844269,WSFS FINANCIAL CORPORATION,BHC,3844269,,,,Wsfs Financial Corporation,3844269,8766,19880721,20161231
1.0,3846601,FOX CHASE BC,No Match,3846601,,,,"Fox Chase Bancorp, Inc.",3846601,51309,20061031,20160630
1.0,3919756,GEORGETOWN BANCORP INC,No Match,3919756,,,,"Georgetown Bancorp, Inc.",3919756,54148,20120711,20161231
1.0,3922466,WASHINGTONFIRST BANKSHARES INC,BHC,3922466,,,,Washingtonfirst Bankshares,3922466,54285,20121231,20161231
1.0,3944628,FCB FINANCIAL HOLDINGS INC,BHC,3944628,,,,Fcb Financial Holdings Inc,3944628,54983,20140829,20161231
1.0,4028712,BANKUNITED INC,BHC,4028712,,,,"Bankunited, Inc.",4028712,53647,20110131,20161231
1.0,4036324,STATE BANK FINANCIAL CORPORATION,BHC,4036324,,,,State Bank Financial Corporation,4036324,53729,20110429,20161231
1.0,4090054,INVESTAR HOLDING CORPORATION,BHC,4090054,,,,Investar Holding Corp,4090054,54959,20140731,20161231
1.0,4105266,VERITEX HOLDINGS INC,BHC,4105266,,,,Veritex Holdings Inc,4105266,55085,20141031,20161231
3.0,4114567,FIRST REPUBLIC BANK,Call_Parent,4114567,,,,First Republic Bank,4114567,53609,20101231,20161231
1.0,4183442,STANDARD AVB FINANCIAL CORP,BHC,4183442,,,,Standard Financial Corporation,4183442,53545,20101029,20130930
1.0,4191465,VIEWPOINT FNCL GRP,BHC,4191465,,,,"Viewpoint Financial Group, Inc.",4191465,51319,20100706,20161231
1.0,4284536,CUSTOMERS BANCORP INC,BHC,4284536,,,,Customers Bancorp Inc,4284536,54408,20130531,20161231
1.0,4366003,HOMETRUST BANCSHARES INC,BHC,4366003,,,,"Hometrust Bancshares, Inc.",4366003,54151,20120731,20161231
3.0,4523431,WATERSTONE FINANCIAL INC,BHC,4523431,,,,Waterstone Financial Inc,4523431,47887,20140123,20161231
3.0,4809920,GREAT WESTERN BANCORP INC,BHC,4809920,,,,Great Western Bancorp Inc,4809920,55050,20141031,20161231
2.0,494261,PACIFIC WESTERN BANK,Call_Subsidiary,2875332,,,,Pacwest Bancorp,2875332,37718,20000630,20161231
