source,id,lender_TopName,Match_Type,highest_parent_id,RSSD,CU_NAME,notice,name,entity,permco,dt_start,dt_end
3.0,1206603,MANHATTAN BANCSHARES INC,BHC,1206603,,,,,,,,
1.0,1206760,FIRST MID BANCSHARES INC,BHC,1206760,,,,First Mid Ill Bancshares Inc,1206760,54861,20140530,20161231
1.0,1208184,FIRST MIDWEST BANCORP INC,BHC,1208184,,,,"First Midwest Bancorp, Inc.",1208184,5908,19860630,20161231
1.0,1208559,FIRST MERCHANTS CORPORATION,BHC,1208559,,,,First Merchants Corporation,1208559,10218,19890630,20161231
1.0,1208906,LAKELAND FINANCIAL CORPORATION,BHC,1208906,,,,Lakeland Financial Corporation,1208906,15657,19970829,20161231
1.0,1209136,HORIZON BANCORP INC,BHC,1209136,,,,Horizon Bancorp,1209136,9389,19870831,20161231
3.0,1210749,MSB BANCORPORATION INC,BHC,1210749,,,,,,,,
2.0,1231333,BANK OF MONTREAL,No Match,1231333,,,,,,,,
1.0,1231968,BNP PARIBAS,No Match,1231968,,,,,,,,
1.0,1232497,ROYAL BANK OF CANADA,No Match,1232497,,,,,,,,
1.0,1238565,TORONTODOMINION BANK THE,No Match,1238565,,,,,,,,
1.0,1239254,BANCO SANTANDER SA,No Match,1239254,,,,,,,,
1.0,1242423,DEUTSCHE BANK AKTIENGESELLSCHAFT,No Match,1242423,,,,,,,,
1.0,1245705,WEST SUBURBAN BANCORP INC,BHC,1245705,,,,,,,,
1.0,1246467,TAMPA BAY BKG CO,BHC,1246467,,,,,,,,
2.0,1248304,SANDY SPRING BANCORP INC,BHC,1248304,,,,"Sandy Spring Bancorp, Inc.",1248304,14531,19960430,20161231
1.0,1250099,SEMPERVERDE HOLDING CO,No Match,1250099,,,,,,,,
1.0,129787,FORT LEE FEDERAL CREDIT UNION,Credit Union,129787,129787.0,HOMEBASE,,,,,,
1.0,131780,HOPEWELL FEDERAL CU,Credit Union,131780,131780.0,HOPEWELL,,,,,,
1.0,1391237,BANCO BILBAO VIZCAYA ARGENTARIA SA,No Match,1391237,,,,,,,,
3.0,1404735,PTB CORPORATION,BHC,1404735,,,,,,,,
1.0,1404799,LAKELAND BANCORP INC,BHC,1404799,,,,"Lakeland Bancorp, Inc.",1404799,18304,20000229,20161231
1.0,1427444,GREAT LAKES FNCL RESRCS ESOP,No Match,1427444,,,,,,,,
1.0,146579,DOWNRIVER COMMUNITY FEDERAL CU,Credit Union,146579,146579.0,DOWNRIVER COMMUNITY,,,,,,
1.0,148498,PEOPLE DRIVEN CREDIT UNION,Credit Union,148498,148498.0,PEOPLE DRIVEN,,,,,,
1.0,1490701,JOHNSON FINANCIAL GROUP INC,BHC,1490701,,,,,,,,
2.0,1491351,MIDLAND STATES BANCORP INC,BHC,1491351,,,,Midland States Bancorp,1491351,55567,20160531,20161231
2.0,1491717,FARMINGTON BANCORP INC,BHC,1491717,,,,,,,,
1.0,1491904,ROYAL BANCSHARES INC,BHC,1491904,,,,,,,,
3.0,1493319,GATEWAY BANK FSB,Call_Parent,1493319,,,,,,,,
2.0,1496253,UNIVERSITY BANCORP INC,BHC,1496253,,,,"University Bancorp, Inc.",1496253,9237,19891231,20090109
1.0,1562859,ALLY FINANCIAL INC,BHC,1562859,,,,Ally Financial Inc,1562859,53687,20140430,20161231
1.0,156774,UNITY CATHOLIC FCU,Credit Union,156774,156774.0,UNITY CATHOLIC,,,,,,
2.0,1583836,MUTUAL OF OMAHA INSURANCE COMPANY,No Match,1583836,,,,,,,,
1.0,1647970,CREDIT SUISSE GROUP AG,No Match,1647970,,,,,,,,
3.0,172886,FRONT ROYAL FCU,Credit Union,172886,172886.0,FRONT ROYAL,,,,,,
3.0,175980,PURDUE FEDERAL CREDIT UNION,Credit Union,175980,175980.0,PURDUE,,,,,,
3.0,1848003,CASCADE BC,No Match,1848003,,,,Cascade Bancorp,1848003,12784,19940131,20161231
3.0,18489,APL FEDERAL CREDIT UNION,Credit Union,18489,18489.0,APL,,,,,,
3.0,1860863,CBX CORPORATION,BHC,1860863,,,,,,,,
1.0,1862036,GUARANTY BANCSHARES INC,BHC,1862036,,,,"Guaranty Bancshares, Inc.",1862036,16115,19900101,20050630
1.0,1866155,PEOPLESSOUTH BANCSHARES INC,BHC,1866155,,,,,,,,
1.0,1885307,ORIGIN BANCORP INC,BHC,1885307,,,,,,,,
1.0,1902651,MERIDIAN BANCORP INC,BHC,1902651,,,,Meridian Bancorp Inc (Md),1902651,52920,20140729,20161231
2.0,1951350,CITIGROUP INC,BHC,1951350,,,,Citigroup Inc.,1951350,20483,19881215,20161231
1.0,1971693,ATLANTIC UNION BANKSHARES CORPORATION,BHC,1971693,,,,Union First Market Bankshares Corporation,1971693,12461,19931029,20161231
1.0,198390,TEAM ONE CREDIT UNION,Credit Union,198390,198390.0,TEAM ONE,,,,,,
2.0,2016340,FIRST COMMUNITY BANCORP INC,BHC,2016340,,,,,,,,
3.0,2022734,MERCHANTS AND MANUFACTURERS BANK CORPORATION,BHC,2022734,,,,,,,,
1.0,2038409,HAWTHORN BANCSHARES INC,BHC,2038409,,,,"Hawthorn Bancshares, Inc",2038409,37716,20000630,20161231
3.0,2072793,COMMUNITY BANCSHARES EMPLOYEE STOCK OWNERSHIP PLAN,No Match,2072793,,,,,,,,
3.0,2078816,COLUMBIA BANKING SYSTEM INC,BHC,2078816,,,,"Columbia Banking System, Inc.",2078816,11576,19930816,20161231
3.0,2126977,BANNER CORPORATION,BHC,2126977,,,,Banner Corporation,2126977,14091,19951130,20161231
1.0,2127068,ALLIANCE BANCSHARES INC,BHC,2127068,,,,,,,,
1.0,2162966,MORGAN STANLEY,BHC,2162966,,,,Morgan Stanley,2162966,21224,19930602,20161231
1.0,2260406,WINTRUST FINANCIAL CORPORATION,BHC,2260406,,,,Wintrust Financial Corporation,2260406,15385,19970331,20161231
1.0,2264404,NEXTIER INCORPORATED,BHC,2264404,,,,,,,,
1.0,2277860,CAPITAL ONE FINANCIAL CORPORATION,BHC,2277860,,,,Capital One Financial Corporation,2277860,30513,19941130,20161231
1.0,2291914,IBERIABANK CORPORATION,BHC,2291914,,,,Iberiabank Corporation,2291914,13657,19950428,20161231
2.0,2337081,PASSUMPSIC BANCORP,BHC,2337081,,,,,,,,
1.0,2349815,WESTERN ALLIANCE BANCORPORATION,BHC,2349815,,,,Western Alliance Bancorporation,2349815,46890,20050630,20161231
1.0,2360043,LAKE ELMO BANCSHARES INC,BHC,2360043,,,,,,,,
3.0,2360454,STOCKMENS FINANCIAL CORPORATION,BHC,2360454,,,,,,,,
1.0,2380443,GOLDMAN SACHS GROUP INC THE,BHC,2380443,,,,"Goldman Sachs Group, Inc., The",2380443,35048,19990528,20161231
1.0,2393274,FLUSHING FINANCIAL CORPORATION,BHC,2393274,,,,Flushing Financial Corp,2393274,14157,19951130,20161231
1.0,2402813,MAGNOLIA BANCORP INC,BHC,2402813,,,,,,,,
1.0,240486,SKYPOINT FEDERAL CREDIT UNION,Credit Union,240486,240486.0,SKYPOINT,,,,,,
3.0,2453084,H BC LLC,BHC,2453084,,,,,,,,
1.0,2461463,SB ONE BANCORP,BHC,2461463,,,,Sussex Bancorp,2461463,34666,19980227,20161231
1.0,2490575,OFG BANCORP,BHC,2490575,,,,Oriental Financial Group Inc.,2490575,9058,19970124,20161231
1.0,2494153,HOMETOWN FINANCIAL GROUP INC,BHC,2494153,,,,,,,,
1.0,2495039,TAYLOR CAP GRP,No Match,2495039,,,,"Taylor Capital Group, Inc.",2495039,43617,20021031,20140817
2.0,2507790,CAROLINA FINANCIAL CORPORATION,BHC,2507790,,,,Carolina Financial Corp,2507790,54949,20140731,20161231
3.0,2510192,IRONSTONE BANK,No Match,2510192,,,,,,,,
1.0,2523389,COMMUNITY FINANCIAL CORPORATION THE,BHC,2523389,,,,Community Financial Cp (The),2523389,54567,20130930,20161231
1.0,2533100,ALIKAT INV,BHC,2533100,,,,,,,,
1.0,2539081,SHORE COMMUNITY BANK,Call_Parent,2539081,,,,,,,,
3.0,2571120,COLUMBIA BANK MHC,BHC,2571120,,,,,,,,
2.0,2582827,NORTHWAY FINANCIAL INC,BHC,2582827,,,,"Northway Financial, Inc.",2582827,15734,19900101,20070630
1.0,2589732,KINDERHOOK BANK CORP,BHC,2589732,,,,,,,,
1.0,2609975,OCEANFIRST FINANCIAL CORP,BHC,2609975,,,,Oceanfirst Financial Corp.,2609975,14795,19960731,20161231
2.0,2623430,NARRAGANSETT FINANCIAL CORP,BHC,2623430,,,,,,,,
1.0,2630746,UNITY BANCSHARES LLC,BHC,2630746,,,,,,,,
1.0,2648693,FIRST NIAGARA FNCL GROUP,No Match,2648693,,,,"First Niagara Financial Group, Inc.",2648693,16060,19980430,20160729
2.0,269393,MILLBURY FEDERAL CREDIT UNION,Credit Union,269393,269393.0,MILLBURY,,,,,,
1.0,2706735,TEXAS CAPITAL BANCSHARES INC,BHC,2706735,,,,"Texas Capital Bancshares, Inc.",2706735,44292,20030829,20161231
1.0,271695,SCHOOL EMPL LORAIN CTY CU,Credit Union,271695,271695.0,ACHIEVE,,,,,,
3.0,2734064,INDEPENDENT ALLIANCE BANKS INC,No Match,2734064,,,,,,,,
2.0,2734233,EAST WEST BANCORP INC,BHC,2734233,,,,"East West Bancorp, Inc.",2734233,16402,19990226,20161231
1.0,2737814,NORTHPOINTE BANCSHARES INC,BHC,2737814,,,,,,,,
1.0,2745604,TOWER FC,No Match,2745604,,,,Tower Financial Corporation,2745604,42116,20010928,20140425
3.0,2747644,UMPQUA HOLDINGS CORPORATION,BHC,2747644,,,,Umpqua Holdings Corporation,2747644,16035,19990313,20161231
1.0,2751388,SOMERSET HILLS BANK,No Match,2751388,,,,,,,,
3.0,2762973,PACIFIC CONTINENTAL CORP,No Match,2762973,,,,Pacific Continental Corporation,2762973,37736,20000630,20161231
1.0,2777650,METLIFE BANK NA,No Match,2777650,,,,,,,,
1.0,2784920,1ST CONSTITUTION BANCORP,BHC,2784920,,,,1St Constitution Bancorp,2784920,42541,20011231,20161231
1.0,2816474,CENTRIX B&TC,No Match,2816474,,,,,,,,
1.0,2833891,EMPRESAS JUAN YARUR SPA,No Match,2833891,,,,,,,,
1.0,2851653,FNB BC,BHC,2851653,,,,,,,,
1.0,2900261,HANMI FINANCIAL CORPORATION,BHC,2900261,,,,Hanmi Financial Corporation,2900261,41159,20010131,20161231
1.0,290490,WINGS FINANCIAL CREDIT UNION,Credit Union,290490,290490.0,WINGS FINANCIAL,,,,,,
1.0,2931331,FARMERS AND MERCHANTS BANCSHARES INC,BHC,2931331,,,,,,,,
1.0,2937100,CONNECTICUT MUTUAL HOLDING COMPANY,BHC,2937100,,,,,,,,
2.0,295981,WRIGHT PATMAN CONGRESSIONAL FEDERAL CREDIT UNION,Credit Union,295981,295981.0,WRIGHT PATMAN CONGRESSIONAL,,,,,,
3.0,2961879,HOPE BANCORP INC,BHC,2961879,,,,"Nara Bancorp, Inc.",2961879,15933,20010202,20161231
3.0,2976396,SIERRA BANCORP,BHC,2976396,,,,Sierra Bancorp,2976396,16578,20010810,20161231
1.0,2980209,BARCLAYS BANK DELAWARE,Call_Subsidiary,5006575,,,,,,,,
1.0,3010288,C B & T BANCSHARES INC,BHC,3010288,,,,,,,,
1.0,3016338,GEORGIA BANKING COMPANY INC,BHC,3016338,,,,,,,,
3.0,3025385,NORTHRIM BC,BHC,3025385,,,,"Northrim Bancorp, Inc.",3025385,28947,20020101,20161231
1.0,3035227,JSA FAMILY LIMITED PARTNERSHIP,BHC,3035227,,,,,,,,
1.0,3063622,STIFEL FINANCIAL CORP,BHC,3063622,,,,Stifel Financial Corp.,3063622,6185,20011016,20161231
3.0,306681,MARKET USA FEDERAL CREDIT UNION,Credit Union,306681,306681.0,MARKET USA,,,,,,
1.0,307697,GUARDIANS CREDIT UNION,Credit Union,307697,307697.0,GUARDIANS,,,,,,
1.0,3083291,STERLING BANCORP,BHC,3083291,,,,"Provident New York Bancorp, Inc.",3083291,16374,20040114,20161231
1.0,309570,1ST MARINER BANK,Call_Parent,309570,,,,,,,,
1.0,3109904,ACCESS NATIONAL CORPORATION,BHC,3109904,,,,Access National Corporation,3109904,45415,20040730,20161231
3.0,3117329,PREMIER CMRL BC,BHC,3117329,,,,,,,,
1.0,312299,COMMUNITY ALLIANCE CREDIT UNION,No Match,312299,,,,,,,,
1.0,3140288,INDEPENDENT BANK GROUP INC,BHC,3140288,,,,Independent Bk Grp Inc,3140288,54377,20130430,20161231
1.0,3146150,US CENTURY BANK,Call_Parent,3146150,,,,,,,,
3.0,3149012,BILTMORE BK OF ARIZONA,No Match,3149012,,,,,,,,
1.0,3153130,BANC OF CALIFORNIA INC,BHC,3153130,,,,"First Pactrust Bancorp, Inc.",3153130,43449,20020830,20161231
1.0,3153242,CLAYTON HC,BHC,3153242,,,,,,,,
3.0,3188860,CALWEST BC,BHC,3188860,,,,,,,,
1.0,3211601,MVB FINANCIAL CORP,BHC,3211601,,,,,,,,
1.0,3221217,DCB FC,No Match,3221217,,,,,,,,
1.0,3223828,FLORIDA CAPITAL GROUP INC,BHC,3223828,,,,,,,,
1.0,3233126,TRIUMPH BANCORP INC,BHC,3233126,,,,Triumph Bancorp Inc,3233126,55123,20141128,20161231
1.0,3242838,REGIONS FINANCIAL CORPORATION,BHC,3242838,,,,Regions Financial Corporation,3242838,1620,20040701,20161231
1.0,324591,BEACON COMMUNITY CREDIT UNION,Credit Union,324591,324591.0,BEACON COMMUNITY,,,,,,
1.0,3248513,WILSHIRE BC,No Match,3248513,,,,"Wilshire Bancorp, Inc.",3248513,16321,20040826,20160729
1.0,3249109,FIRST TRUST FINANCIAL CORP,BHC,3249109,,,,,,,,
1.0,3253825,LAKEVIEW BANCORPORATION INC,BHC,3253825,,,,,,,,
1.0,3255100,SUNSOUTH BSHRS,BHC,3255100,,,,,,,,
1.0,3274727,COASTALSOUTH BANCSHARES INC,BHC,3274727,,,,,,,,
1.0,329587,BALTIMORE COUNTY EMPLOYEES CU,Credit Union,329587,329587.0,BALTIMORE COUNTY EMPLOYEES,,,,,,
3.0,3303944,PACIFIC WEST BANK,Call_Parent,3303944,,,,,,,,
1.0,3325740,SOUTHERN NATIONAL BANCORP OF VIRGINIA INC,BHC,3325740,,,,"Southern National Bancorp Of Virginia, Inc.",3325740,51457,20061130,20161231
1.0,3339046,STONEGATE BANK,No Match,3339046,,,,Stonegate Bank/Fl,3339046,54871,20140530,20161231
1.0,3342671,ANCHOR COMMERCIAL BANK,Call_Parent,3342671,,,,,,,,
1.0,3344312,TRADITION BANCSHARES INC,BHC,3344312,,,,,,,,
1.0,3353837,PILOT POINT BANCORP INC ESOP,No Match,3353837,,,,,,,,
1.0,3356632,WESTERN ILLINOIS BANCSHARES INC,BHC,3356632,,,,,,,,
1.0,335980,COMMUNITY FOCUS FEDERAL CREDIT UNION,Credit Union,335980,335980.0,COMMUNITY FOCUS,,,,,,
3.0,3383076,TRIVALLEY BANK,Call_Parent,3383076,,,,,,,,
1.0,3402913,BANESCO USA,Call_Parent,3402913,,,,,,,,
1.0,343088,CARTER FEDERAL CREDIT UNION,Credit Union,343088,343088.0,CARTER,,,,,,
3.0,344692,WESCOM CENTRAL CREDIT UNION,Credit Union,344692,344692.0,WESCOM CENTRAL,,,,,,
3.0,3447875,PLAZA BANK,No Match,3447875,,,,,,,,
3.0,3448162,LONE STAR BANK,Call_Parent,3448162,,,,,,,,
1.0,3450521,EVERGREEN BANCSHARES INC,BHC,3450521,,,,,,,,
3.0,3466456,NHB HOLD,No Match,3466456,,,,,,,,
1.0,3470154,US METRO BK,Call_Parent,3470154,,,,,,,,
1.0,3474835,GREEN BANCORP INC,BHC,3474835,,,,Green Bancorp Inc,3474835,54993,20140829,20161231
1.0,3488234,RESERVE FNCL ASSC LLC,BHC,3488234,,,,,,,,
1.0,3488289,COMMUNITY BANCSHARES OF KANSAS INC,No Match,3488289,,,,,,,,
1.0,3489594,PACIFIC PREMIER BANCORP INC,BHC,3489594,,,,"Pacific Premier Bancorp, Inc.",3489594,15547,20070330,20161231
1.0,3530786,MERCHANTS BANCORP,BHC,3530786,,,,,,,,
1.0,3541483,AVENUE FNCL HOLD,No Match,3541483,,,,Avenue Financial Holdings,3541483,55189,20150227,20160630
1.0,3547999,BANGOR BANCORP MHC,BHC,3547999,,,,,,,,
1.0,3551361,HERITAGE BC,No Match,3551361,,,,,,,,
1.0,3559198,FORTIS FINANCIAL INC,BHC,3559198,,,,,,,,
3.0,3559844,WESTERN AZ BC,BHC,3559844,,,,,,,,
1.0,3560756,COLLIN BANK,No Match,3560756,,,,,,,,
1.0,3577419,HOMEBANCORP,BHC,3577419,,,,,,,,
3.0,3587146,BANK OF NEW YORK MELLON CORPORATION THE,BHC,3587146,,,,"Bank Of New York Mellon Corporation, The",3587146,20265,20070701,20161231
1.0,3592047,GOLDWATER BANK NATIONAL ASSOCIATION,Call_Parent,3592047,,,,,,,,
3.0,3595431,ST ANNE BANCORP INC,BHC,3595431,,,,,,,,
3.0,3609682,TALMER BC,No Match,3609682,,,,Talmer Bancorp Inc,3609682,54747,20140228,20160831
1.0,3612543,LEVEL ONE BANCORP INC,BHC,3612543,,,,,,,,
1.0,3614958,CALIFORNIA BANK OF COMMERCE,Call_Subsidiary,5116344,,,,,,,,
1.0,3619720,MINEOLA COMMUNITY MUTUAL HOLDING COMPANY,BHC,3619720,,,,,,,,
1.0,3628535,VIRGINIA CMNTY CAP,BHC,3628535,,,,,,,,
1.0,3632000,REGENT CAPITAL CORPORATION,BHC,3632000,,,,,,,,
1.0,3637582,FRANKLIN FINANCIAL NETWORK INC,BHC,3637582,,,,Franklin Finl Network Inc,3637582,55204,20150331,20161231
3.0,36483,VANTRIA FEDERAL CREDIT UNION,No Match,36483,,,,,,,,
1.0,3649950,PALOMAR ENTERPRISES LLC,BHC,3649950,,,,,,,,
1.0,3650152,PEOPLES UNITED FINANCIAL INC,BHC,3650152,,,,"People'S United Financial, Inc.",3650152,9847,20070416,20161231
3.0,3654712,NEW JERSEY COMMUNITY BANK,Call_Parent,3654712,,,,,,,,
